State,EfficiencyScore,gCo2pkWh,netKWhGeneration,gCo2,millionTonsOfCO2,AverageRetailPrice.cents.kWh.,TotalRetailSales.MWh.,NetSummerCapacity.MW.,NetGeneration.MWh.
Alabama,99.09246341657285,754.8921587514313,144788893000,109300000000000,109.3,11.59,87027545,28910,144788893
Alaska,64.41126382043967,6169.586240358714,6694128000,41300000000000,41.3,20.73,6002080,2820,6694128
Arizona,98.94786147804014,777.468519139188,104698773000,81400000000000,81.4,11.31,84196517,28202,104698773
Arkansas,97.7854336749993,958.955636618328,65905030000,63200000000000,63.2,9.91,48997663,14954,65905030
California,93.65478706442516,1603.8637717446768,203383857000,326200000000000,326.2,22.33,251869136,85981,203383857
Colorado,94.13972968937935,1528.1508208711084,58044009000,88700000000000,88.7,11.75,56763041,18092,58044009
Connecticut,98.42319211983903,859.3839113901792,43054099000,37000000000000,37,21.08,27767146,10108,43054099
Delaware,88.60389187074652,2392.4481526344243,5308370000,12700000000000,12.7,11.83,11539271,3322,5308370
District of Columbia,0,16225.965288915793,160237000,2600000000000,2.6,14.94,10241534,51,160237
Florida,98.21300135903982,892.2005002556618,258910413000,231000000000000,231,12.51,248820803,66883,258910413
Georgia,97.60785149095427,986.6811251292479,126484633000,124800000000000,124.8,12,145035204,36198,126484633
Hawaii,91.51185924527022,1938.4340494401354,9337434000,18100000000000,18.1,39.72,9039115,2906,9337434
Idaho,95.78279458194265,1271.6229656336216,16278410000,20700000000000,20.7,8.51,26201131,5355,16278410
Illinois,97.57522030829121,991.7757548911686,185223322000,183700000000000,183.7,11.94,135871580,44163,185223322
Indiana,93.26722036428582,1664.3736486206376,98054905000,163200000000000,163.2,11.66,100044365,26903,98054905
Iowa,97.65262357383733,979.6909651857841,72982198000,71500000000000,71.5,9.57,54203955,22546,72982198
Kansas,97.53258729231067,998.4319473527638,62197529000,62100000000000,62.1,11.47,41961065,18427,62197529
Kentucky,93.77547239743407,1585.021454697115,69147329000,109600000000000,109.6,10.51,75338742,17633,69147329
Louisiana,92.28371566463711,1817.9259230066289,105504849000,191800000000000,191.8,10.41,95138998,24720,105504849
Maine,96.45064548189652,1167.3529762016685,12763920000,14900000000000,14.9,17.44,11875708,5126,12763920
Maryland,95.20113704919724,1362.435787472403,37139365000,50600000000000,50.6,13.32,59682719,11908,37139365
Massachusetts,85.89398121483133,2815.5401264168004,21026161000,59200000000000,59.2,21.27,50983440,12767,21026161
Michigan,95.53269015175957,1310.6711817756925,117497052000,154000000000000,154,13.2,100639262,30538,117497052
Minnesota,94.75998586963965,1431.311683025649,58966891000,84400000000000,84.4,12.04,66635430,18460,58966891
Mississippi,97.7759087421251,960.4427419740329,67781240000,65099999999999.99,65.1,10.36,48979533,14724,67781240
Missouri,94.81570384521764,1422.6125666134553,79361031000,112900000000000,112.9,10.26,80306260,21128,79361031
Montana,96.95241188359638,1089.0133686542822,27088740000,29500000000000,29.5,9.97,15583783,6439,27088740
Nebraska,96.35664103497994,1182.029669288741,40692718000,48100000000000,48.1,8.83,33844105,10800,40692718
Nevada,97.85215531525188,948.5385439341688,42591838000,40400000000000,40.4,10.94,39320007,13541,42591838
New Hampshire,99.21708387309906,735.4354601291925,18764393000,13800000000000,13.8,21.07,10818130,4463,18764393
New Jersey,94.82122458437541,1421.7506266000842,65060636000,92500000000000,92.5,14.8,74442735,16712,65060636
New Mexico,96.64362095729653,1137.2241693347821,40889036000,46500000000000,46.5,10.02,27156178,10230,40889036
New York,95.42917707493324,1326.832434874994,125185363000,166100000000000,166.1,18.33,143210517,39689,125185363
North Carolina,98.3649122473128,868.4830107442818,134257088000,116600000000000,116.6,9.6,139206761,35391,134257088
North Dakota,95.70508139557273,1283.7561425479216,44400956000,57000000000000,57,8.42,25392877,9409,44400956
Ohio,94.67448675412635,1444.6604587353615,135810459000,196200000000000,196.2,10.64,149499783,27447,135810459
Oklahoma,97.33599131342547,1029.1260149090704,84634922000,87100000000000,87.1,10.05,69486942,32619,84634922
Oregon,100,613.200607583951,61317617000,37600000000000,37.6,9.26,56326896,17243,61317617
Pennsylvania,98.21216880940841,892.3304842704705,239261130000,213500000000000,213.5,11.86,145044592,49066,239261130
Rhode Island,95.57260478676942,1304.4394037381908,7819451000,10200000000000,10.2,19.3,7576284,2162,7819451
South Carolina,99.56062876764624,681.7986041688125,98709501000,67300000000000,67.3,10.74,82758432,24286,98709501
South Dakota,98.34567877966083,871.4858867888438,17900462000,15600000000000,15.6,10.44,13467064,6324,17900462
Tennessee,96.45028511025082,1167.4092401786893,78036045000,91100000000000,91.1,10.89,102112051,21567,78036045
Texas,95.84760368001055,1261.5044736601862,525562940000,663000000000000,663,10.16,475401192,148900,525562940
Utah,94.15401012005029,1525.9212508349722,39386043000,60100000000000,60.1,8.8,33365501,9627,39386043
Vermont,87.79644963065086,2518.512209518236,2183829000,5500000000000,5.5,16.99,5470471,839,2183829
Virginia,97.0413176396536,1075.132722172908,89477325000,96200000000000,96.2,10.75,132264617,29169,89477325
Washington,99.82735701386244,640.1549507484319,116690498000,74700000000000,74.7,9.05,90897320,30853,116690498
West Virginia,94.97540188370594,1397.6792876635743,56665360000,79200000000000,79.2,9.74,32986288,15021,56665360
Wisconsin,94.45248481306987,1479.3210993804976,61244310000,90600000000000,90.6,11.95,69875871,16724,61244310
Wyoming,96.16097147621105,1212.579097052328,46347492000,56200000000000,56.2,8.24,16499429,10092,46347492
