make,model,year,fuelType,cityMpkWh,highwayMpKwh,combMpKwh,gCo2pM
MINI,Cooper SE Hardtop 2 door,2022,Electricity,3.522329809829414,2.9802706085712583,3.255844240411539,0
Chevrolet,Bolt EUV,2022,Electricity,3.7009348561446624,3.094499835991509,3.4010019351701013,0
Chevrolet,Bolt EV,2022,Electricity,3.8753831785117754,3.2336402057888627,3.5576680197664037,0
Hyundai,Kona Electric,2022,Electricity,3.8461538461538463,3.2294943257784694,3.5714285714285716,0
Kia,Niro Electric,2022,Electricity,3.651087476404847,3.0114223248782634,3.332544631103972,0
Nissan,Leaf (40 kW-hr battery pack),2022,Electricity,3.6469331115998,2.9324997214125266,3.28661951463203,0
Nissan,Leaf (62 kW-hr battery pack),2022,Electricity,3.4994768282141817,2.8868110264633966,3.1943983031356216,0
Nissan,Leaf SV/SL (62 kW-hr battery pack),2022,Electricity,3.3956433895312315,2.797507979891513,3.097605550909147,0
Polestar,2 Dual Motor,2022,Electricity,2.7791750852511954,2.4971968964836972,2.6447819773976935,0
Volvo,XC40 Recharge twin,2022,Electricity,2.7276198788936776,2.3346212660651124,2.535548388405444,0
Rivian,R1S,2022,Electricity,2.1661478742507834,1.937695343911858,2.0570121487137505,0
Rivian,R1T,2022,Electricity,2.2034779696272597,1.9467600073198175,2.080044263341924,0
Lucid,Air Dream P AWD w/19 inch wheels,2022,Electricity,3.4570257133572557,3.394732732691955,3.428708576914505,0
Lucid,Air Dream P AWD w/21 inch wheels,2022,Electricity,3.2679311381550566,3.299077907724791,3.2818735559756353,0
Lucid,Air Dream R AWD w/19 inch wheels,2022,Electricity,3.7239786988418424,3.7195185455194677,3.721968921559505,0
Lucid,Air Dream R AWD w/21 inch wheels,2022,Electricity,3.4058553465117227,3.4570257133572557,3.4286968209123074,0
Lucid,Air G Touring AWD w/19 inch wheels,2022,Electricity,3.8618985093071756,3.924184750618059,3.88968843595628,0
Lucid,Air G Touring AWD w/21 inch wheels,2022,Electricity,3.5771520146520146,3.623871164132373,3.5980282805022847,0
Audi,e-tron GT,2022,Electricity,2.3946474839438885,2.460224323253794,2.4237194884012907,0
Audi,e-tron S (20in wheels),2022,Electricity,2.147923173083945,2.218273695045042,2.179019528373013,0
Audi,e-tron S (21/22 inch wheels),2022,Electricity,1.8467288891187041,1.9126822307995393,1.8758382652247723,0
Audi,e-tron S Sportback (20 inch wheels),2022,Electricity,2.1699081477881044,2.2996171137505605,2.2264177828441154,0
Audi,e-tron S Sportback (21/22 inch wheels),2022,Electricity,1.8863013026796795,1.9632479974870425,1.9201708183960047,0
Audi,Q4 e-tron quattro,2022,Electricity,2.96157650640589,2.6375898758750203,2.8064503454740377,0
Audi,Q4 e-tron Sportback quattro,2022,Electricity,2.96157650640589,2.6375898758750203,2.8064503454740377,0
Audi,RS e-tron GT,2022,Electricity,2.3562898802062224,2.432231937637573,2.3898688678952187,0
Mazda,MX-30,2022,Electricity,2.909658027891982,2.5212859566893497,2.7210440101658206,0
Mercedes-Benz,EQS 450 Plus,2022,Electricity,2.857142857142857,2.857142857142857,2.857142857142857,0
Porsche,Taycan 4S Perf Battery,2022,Electricity,2.336448598130841,2.3800626908512768,2.355873546131538,0
Porsche,Taycan 4S Perf Battery Plus,2022,Electricity,2.2180670432944507,2.407063286507929,2.2993104368000035,0
Porsche,Taycan Perf Battery,2022,Electricity,2.272727272727273,2.5,2.380952380952381,0
Porsche,Taycan Perf Battery Plus,2022,Electricity,2.1163035795158742,2.3738308882875185,2.224921793998941,0
Porsche,Taycan Turbo,2022,Electricity,2.186915683465824,2.3094474877830224,2.1739130434782608,0
Porsche,Taycan Turbo S,2022,Electricity,2.0560732291041277,2.1079968970285674,2.0791187862936176,0
Porsche,Taycan 4 Cross Turismo,2022,Electricity,2.257529991285934,2.280371700587196,2.2677536765956483,0
Porsche,Taycan 4S Cross Turismo,2022,Electricity,2.2429923312092197,2.2222222222222223,2.2222222222222223,0
Porsche,Taycan Turbo Cross Turismo,2022,Electricity,2.1349957833833275,2.130842236702479,2.1331240027645286,0
Porsche,Taycan Turbo S Cross Turismo,2022,Electricity,2.180687396281056,2.1619938772333396,2.1722366434599385,0
Audi,e-tron quattro,2022,Electricity,2.307491733410865,2.2987078962914946,2.303531774917303,0
Audi,e-tron Sportback quattro,2022,Electricity,2.248211547713794,2.3052948010991647,2.2735488506073787,0
Hyundai,Ioniq 5 AWD (Long Range),2022,Electricity,3.2523392450019677,2.5835921231443346,2.9130314461744615,0
Hyundai,Ioniq 5 RWD (Long Range),2022,Electricity,3.9750841724073505,2.93458229155662,3.3333333333333335,0
