"","State","EfficiencyScore","gCo2pkWh","netKWhGeneration","gCo2","millionTonsOfCO2","AverageRetailPrice.cents.kWh.","TotalRetailSales.MWh.","NetSummerCapacity.MW.","NetGeneration.MWh."
"1","Illinois",97.5752203082912,991.775754891169,185223322000,1.837e+14,183.7,11.94,135871580,44163,185223322
"2","Indiana",93.2672203642858,1664.37364862064,98054905000,1.632e+14,163.2,11.66,100044365,26903,98054905
"3","Iowa",97.6526235738373,979.690965185784,72982198000,7.15e+13,71.5,9.57,54203955,22546,72982198
"4","Kansas",97.5325872923107,998.431947352764,62197529000,6.21e+13,62.1,11.47,41961065,18427,62197529
"5","Michigan",95.5326901517596,1310.67118177569,117497052000,1.54e+14,154,13.2,100639262,30538,117497052
"6","Minnesota",94.7599858696396,1431.31168302565,58966891000,8.44e+13,84.4,12.04,66635430,18460,58966891
"7","Missouri",94.8157038452176,1422.61256661346,79361031000,1.129e+14,112.9,10.26,80306260,21128,79361031
"8","Nebraska",96.3566410349799,1182.02966928874,40692718000,4.81e+13,48.1,8.83,33844105,10800,40692718
"9","North Dakota",95.7050813955727,1283.75614254792,44400956000,5.7e+13,57,8.42,25392877,9409,44400956
"10","Ohio",94.6744867541263,1444.66045873536,135810459000,1.962e+14,196.2,10.64,149499783,27447,135810459
"11","South Dakota",98.3456787796608,871.485886788844,17900462000,1.56e+13,15.6,10.44,13467064,6324,17900462
"12","Wisconsin",94.4524848130699,1479.3210993805,61244310000,9.06e+13,90.6,11.95,69875871,16724,61244310
