"","State","EfficiencyScore","gCo2pkWh","netKWhGeneration","gCo2","millionTonsOfCO2","AverageRetailPrice.cents.kWh.","TotalRetailSales.MWh.","NetSummerCapacity.MW.","NetGeneration.MWh."
"1","Alabama",99.0924634165729,754.892158751431,144788893000,1.093e+14,109.3,11.59,87027545,28910,144788893
"2","Arkansas",97.7854336749993,958.955636618328,65905030000,6.32e+13,63.2,9.91,48997663,14954,65905030
"3","Delaware",88.6038918707465,2392.44815263442,5308370000,1.27e+13,12.7,11.83,11539271,3322,5308370
"4","District of Columbia",0,16225.9652889158,160237000,2.6e+12,2.6,14.94,10241534,51,160237
"5","Florida",98.2130013590398,892.200500255662,258910413000,2.31e+14,231,12.51,248820803,66883,258910413
"6","Georgia",97.6078514909543,986.681125129248,126484633000,1.248e+14,124.8,12,145035204,36198,126484633
"7","Kentucky",93.7754723974341,1585.02145469711,69147329000,1.096e+14,109.6,10.51,75338742,17633,69147329
"8","Louisiana",92.2837156646371,1817.92592300663,105504849000,1.918e+14,191.8,10.41,95138998,24720,105504849
"9","Maryland",95.2011370491972,1362.4357874724,37139365000,5.06e+13,50.6,13.32,59682719,11908,37139365
"10","Mississippi",97.7759087421251,960.442741974033,67781240000,6.51e+13,65.1,10.36,48979533,14724,67781240
"11","North Carolina",98.3649122473128,868.483010744282,134257088000,1.166e+14,116.6,9.6,139206761,35391,134257088
"12","Oklahoma",97.3359913134255,1029.12601490907,84634922000,8.71e+13,87.1,10.05,69486942,32619,84634922
"13","South Carolina",99.5606287676462,681.798604168813,98709501000,6.73e+13,67.3,10.74,82758432,24286,98709501
"14","Tennessee",96.4502851102508,1167.40924017869,78036045000,9.11e+13,91.1,10.89,102112051,21567,78036045
"15","Texas",95.8476036800106,1261.50447366019,525562940000,6.63e+14,663,10.16,475401192,148900,525562940
"16","Virginia",97.0413176396536,1075.13272217291,89477325000,9.62e+13,96.2,10.75,132264617,29169,89477325
"17","West Virginia",94.9754018837059,1397.67928766357,56665360000,7.92e+13,79.2,9.74,32986288,15021,56665360
