State,millionTonsOfCO2,gCo2,gCo2pkWh
Alabama,109.3,109300000000000,0
Alaska,41.3,41300000000000,0
Arizona,81.4,81400000000000,0
Arkansas,63.2,63200000000000,0
California,326.2,326200000000000,0
Colorado,88.7,88700000000000,0
Connecticut,37,37000000000000,0
Delaware,12.7,12700000000000,0
District of Columbia,2.6,2600000000000,0
Florida,231,231000000000000,0
Georgia,124.8,124800000000000,0
Hawaii,18.1,18100000000000,0
Idaho,20.7,20700000000000,0
Illinois,183.7,183700000000000,0
Indiana,163.2,163200000000000,0
Iowa,71.5,71500000000000,0
Kansas,62.1,62100000000000,0
Kentucky,109.6,109600000000000,0
Louisiana,191.8,191800000000000,0
Maine,14.9,14900000000000,0
Maryland,50.6,50600000000000,0
Massachusetts,59.2,59200000000000,0
Michigan,154,154000000000000,0
Minnesota,84.4,84400000000000,0
Mississippi,65.1,65099999999999.99,0
Missouri,112.9,112900000000000,0
Montana,29.5,29500000000000,0
Nebraska,48.1,48100000000000,0
Nevada,40.4,40400000000000,0
New Hampshire,13.8,13800000000000,0
New Jersey,92.5,92500000000000,0
New Mexico,46.5,46500000000000,0
New York,166.1,166100000000000,0
North Carolina,116.6,116600000000000,0
North Dakota,57,57000000000000,0
Ohio,196.2,196200000000000,0
Oklahoma,87.1,87100000000000,0
Oregon,37.6,37600000000000,0
Pennsylvania,213.5,213500000000000,0
Rhode Island,10.2,10200000000000,0
South Carolina,67.3,67300000000000,0
South Dakota,15.6,15600000000000,0
Tennessee,91.1,91100000000000,0
Texas,663,663000000000000,0
Utah,60.1,60100000000000,0
Vermont,5.5,5500000000000,0
Virginia,96.2,96200000000000,0
Washington,74.7,74700000000000,0
West Virginia,79.2,79200000000000,0
Wisconsin,90.6,90600000000000,0
Wyoming,56.2,56200000000000,0
Total of states,NA,NA,0
"Source:  U.S. Energy Information Administration, State Energy Data System (SEDS) and EIA calculations made for this analysis.",NA,NA,0
,NA,NA,0
,NA,NA,0
