State,AverageRetailPrice.cents.kWh.,NetSummerCapacity.MW.,NetGeneration.MWh.,TotalRetailSales.MWh.,netKWhGeneration
Alabama,11.59,28910,144788893,87027545,144788893000
Alaska,20.73,2820,6694128,6002080,6694128000
Arizona,11.31,28202,104698773,84196517,104698773000
Arkansas,9.91,14954,65905030,48997663,65905030000
California,22.33,85981,203383857,251869136,203383857000
Colorado,11.75,18092,58044009,56763041,58044009000
Connecticut,21.08,10108,43054099,27767146,43054099000
Delaware,11.83,3322,5308370,11539271,5308370000
District of Columbia,14.94,51,160237,10241534,160237000
Florida,12.51,66883,258910413,248820803,258910413000
Georgia,12,36198,126484633,145035204,126484633000
Hawaii,39.72,2906,9337434,9039115,9337434000
Idaho,8.51,5355,16278410,26201131,16278410000
Illinois,11.94,44163,185223322,135871580,185223322000
Indiana,11.66,26903,98054905,100044365,98054905000
Iowa,9.57,22546,72982198,54203955,72982198000
Kansas,11.47,18427,62197529,41961065,62197529000
Kentucky,10.51,17633,69147329,75338742,69147329000
Louisiana,10.41,24720,105504849,95138998,105504849000
Maine,17.44,5126,12763920,11875708,12763920000
Maryland,13.32,11908,37139365,59682719,37139365000
Massachusetts,21.27,12767,21026161,50983440,21026161000
Michigan,13.2,30538,117497052,100639262,117497052000
Minnesota,12.04,18460,58966891,66635430,58966891000
Mississippi,10.36,14724,67781240,48979533,67781240000
Missouri,10.26,21128,79361031,80306260,79361031000
Montana,9.97,6439,27088740,15583783,27088740000
Nebraska,8.83,10800,40692718,33844105,40692718000
Nevada,10.94,13541,42591838,39320007,42591838000
New Hampshire,21.07,4463,18764393,10818130,18764393000
New Jersey,14.8,16712,65060636,74442735,65060636000
New Mexico,10.02,10230,40889036,27156178,40889036000
New York,18.33,39689,125185363,143210517,125185363000
North Carolina,9.6,35391,134257088,139206761,134257088000
North Dakota,8.42,9409,44400956,25392877,44400956000
Ohio,10.64,27447,135810459,149499783,135810459000
Oklahoma,10.05,32619,84634922,69486942,84634922000
Oregon,9.26,17243,61317617,56326896,61317617000
Pennsylvania,11.86,49066,239261130,145044592,239261130000
Rhode Island,19.3,2162,7819451,7576284,7819451000
South Carolina,10.74,24286,98709501,82758432,98709501000
South Dakota,10.44,6324,17900462,13467064,17900462000
Tennessee,10.89,21567,78036045,102112051,78036045000
Texas,10.16,148900,525562940,475401192,525562940000
Utah,8.8,9627,39386043,33365501,39386043000
Vermont,16.99,839,2183829,5470471,2183829000
Virginia,10.75,29169,89477325,132264617,89477325000
Washington,9.05,30853,116690498,90897320,116690498000
West Virginia,9.74,15021,56665360,32986288,56665360000
Wisconsin,11.95,16724,61244310,69875871,61244310000
Wyoming,8.24,10092,46347492,16499429,46347492000
