State,EfficiencyScore,gCo2pkWh,netKWhGeneration,gCo2,millionTonsOfCO2,AverageRetailPrice.cents.kWh.,TotalRetailSales.MWh.,NetSummerCapacity.MW.,NetGeneration.MWh.
Alaska,64.41126382043967,6169.586240358714,6694128000,41300000000000,41.3,20.73,6002080,2820,6694128
Arizona,98.94786147804014,777.468519139188,104698773000,81400000000000,81.4,11.31,84196517,28202,104698773
California,93.65478706442516,1603.8637717446768,203383857000,326200000000000,326.2,22.33,251869136,85981,203383857
Colorado,94.13972968937935,1528.1508208711084,58044009000,88700000000000,88.7,11.75,56763041,18092,58044009
Hawaii,91.51185924527022,1938.4340494401354,9337434000,18100000000000,18.1,39.72,9039115,2906,9337434
Idaho,95.78279458194265,1271.6229656336216,16278410000,20700000000000,20.7,8.51,26201131,5355,16278410
Montana,96.95241188359638,1089.0133686542822,27088740000,29500000000000,29.5,9.97,15583783,6439,27088740
Nevada,97.85215531525188,948.5385439341688,42591838000,40400000000000,40.4,10.94,39320007,13541,42591838
New Mexico,96.64362095729653,1137.2241693347821,40889036000,46500000000000,46.5,10.02,27156178,10230,40889036
Oregon,100,613.200607583951,61317617000,37600000000000,37.6,9.26,56326896,17243,61317617
Utah,94.15401012005029,1525.9212508349722,39386043000,60100000000000,60.1,8.8,33365501,9627,39386043
Washington,99.82735701386244,640.1549507484319,116690498000,74700000000000,74.7,9.05,90897320,30853,116690498
Wyoming,96.16097147621105,1212.579097052328,46347492000,56200000000000,56.2,8.24,16499429,10092,46347492
