State,AverageRetailPrice(cents/kWh),NetSummerCapacity(MW),NetGeneration(MWh),TotalRetailSales(MWh)
Alabama,11.59,28910.00,144788893,87027545
Alaska,20.73,2820.00,6694128,6002080
Arizona,11.31,28202.00,104698773,84196517
Arkansas,9.91,14954.00,65905030,48997663
California,22.33,85981.00,203383857,251869136
Colorado,11.75,18092.00,58044009,56763041
Connecticut,21.08,10108.00,43054099,27767146
Delaware,11.83,3322.00,5308370,11539271
District of Columbia,14.94,51.00,160237,10241534
Florida,12.51,66883.00,258910413,248820803
Georgia,12,36198.00,126484633,145035204
Hawaii,39.72,2906.00,9337434,9039115
Idaho,8.51,5355.00,16278410,26201131
Illinois,11.94,44163.00,185223322,135871580
Indiana,11.66,26903.00,98054905,100044365
Iowa,9.57,22546.00,72982198,54203955
Kansas,11.47,18427.00,62197529,41961065
Kentucky,10.51,17633.00,69147329,75338742
Louisiana,10.41,24720.00,105504849,95138998
Maine,17.44,5126.00,12763920,11875708
Maryland,13.32,11908.00,37139365,59682719
Massachusetts,21.27,12767.00,21026161,50983440
Michigan,13.2,30538.00,117497052,100639262
Minnesota,12.04,18460.00,58966891,66635430
Mississippi,10.36,14724.00,67781240,48979533
Missouri,10.26,21128.00,79361031,80306260
Montana,9.97,6439.00,27088740,15583783
Nebraska,8.83,10800.00,40692718,33844105
Nevada,10.94,13541.00,42591838,39320007
New Hampshire,21.07,4463.00,18764393,10818130
New Jersey,14.8,16712.00,65060636,74442735
New Mexico,10.02,10230.00,40889036,27156178
New York,18.33,39689.00,125185363,143210517
North Carolina,9.6,35391.00,134257088,139206761
North Dakota,8.42,9409.00,44400956,25392877
Ohio,10.64,27447.00,135810459,149499783
Oklahoma,10.05,32619.00,84634922,69486942
Oregon,9.26,17243.00,61317617,56326896
Pennsylvania,11.86,49066.00,239261130,145044592
Rhode Island,19.3,2162.00,7819451,7576284
South Carolina,10.74,24286.00,98709501,82758432
South Dakota,10.44,6324.00,17900462,13467064
Tennessee,10.89,21567.00,78036045,102112051
Texas,10.16,148900.00,525562940,475401192
Utah,8.8,9627.00,39386043,33365501
Vermont,16.99,839.00,2183829,5470471
Virginia,10.75,29169.00,89477325,132264617
Washington,9.05,30853.00,116690498,90897320
West Virginia,9.74,15021.00,56665360,32986288
Wisconsin,11.95,16724.00,61244310,69875871
Wyoming,8.24,10092.00,46347492,16499429
