make,model,year,fuelType,cityMPG,highwayMPG,combinedMPG,gCo2pM
Honda,Odyssey,2022,Regular,19.4381,27.7882,22.4775,394
Kia,Stinger AWD,2022,Premium,20.5219,28.8967,23.5997,380
Kia,Stinger RWD,2022,Premium,21.6699,31.5813,25.2336,355
Kia,Stinger AWD,2022,Premium,17.2255,24.3844,19.8476,451
Kia,Stinger RWD,2022,Premium,17.7679,25.2069,20.4889,437
Kia,Carnival,2022,Regular,19.4307,26.1963,21.9859,407
Acura,MDX FWD,2022,Premium,19,26.3231,22.2878,411
Hyundai,Tucson FWD,2022,Regular,25.8151,32.7045,28.5185,314
Mitsubishi,Eclipse Cross 2WD,2022,Regular,25,27.9039,26,338
Mitsubishi,Eclipse Cross ES 2WD,2022,Regular,26.2251,29,27,327
Acura,MDX AWD,2022,Premium,18.6331,25,21.2158,423
Mitsubishi,Eclipse Cross 4WD,2022,Regular,24.5536,26.383,25.3444,347
Mitsubishi,Eclipse Cross ES 4WD,2022,Regular,25.0375,27.6604,26.1535,337
Genesis,G70 RWD,2022,Premium,17.5272,26.508,20.68,433
Kia,Sportage FWD,2022,Regular,20.1673,27.6137,22.9526,392
Kia,Sportage FWD,2022,Regular,22.9288,30.1582,25.7012,350
Mitsubishi,Outlander 2WD,2022,Regular,24.468,31.2329,27.1104,328
Genesis,GV70 AWD,2022,Premium,18.6274,24.6864,20.9402,428
Hyundai,Tucson AWD,2022,Regular,23.6043,28.6585,25.639,349
Kia,Sportage AWD,2022,Regular,19.3663,24.4967,21.3814,421
Kia,Sportage AWD,2022,Regular,21.5261,25.5258,23.1591,389
Mitsubishi,Outlander 4WD,2022,Regular,24.4886,30,26,342
Hyundai,Kona FWD,2022,Regular,29.42,34.6314,31.5569,284
Hyundai,Kona FWD,2022,Regular,29.5049,35.3492,31.8764,281
Hyundai,Kona AWD,2022,Regular,26.8545,31.7592,28.8601,311
Hyundai,Kona AWD,2022,Regular,27.6734,32.7817,29.7602,301
MINI,Cooper Convertible,2022,Premium,28.7217,38.1457,32.3142,273
MINI,Cooper Convertible,2022,Premium,27.2492,37.3215,31.0159,284
MINI,Cooper S Convertible,2022,Premium,22.7755,32.5771,26.342,335
BMW,M8 Competition Coupe,2022,Premium,14.5189,21.1641,16.9079,522
BMW,M8 Competition Convertible,2022,Premium,14.5189,21.1641,16.9079,522
MINI,Cooper Hardtop 2 door,2022,Premium,28.7217,38.1457,32.3142,273
MINI,Cooper Hardtop 2 door,2022,Premium,27.2492,37.3215,31.0159,284
MINI,Cooper Hardtop 4 door,2022,Premium,28.7217,38.1457,32.3142,273
MINI,Cooper Hardtop 4 door,2022,Premium,27.2492,37.3215,31.0159,284
MINI,Cooper S Hardtop 2 door,2022,Premium,22.937,33.3787,26.6948,331
MINI,Cooper S Hardtop 4 door,2022,Premium,22.937,33.3787,26.6948,331
MINI,John Cooper Works Hardtop 2 door,2022,Premium,21.9456,31.2801,25.3498,348
Genesis,G70 AWD,2022,Premium,17.0725,25.3646,20.0173,447
BMW,X2 xDrive28i,2022,Premium,23.9153,31.3108,26.7595,331
BMW,X2 M35i,2022,Premium,23.4408,30.2672,26.0886,339
BMW,M5 CS Sedan,2022,Premium,14.5189,21.1641,16.9079,522
BMW,M8 Competition Gran Coupe,2022,Premium,14.5189,21.1641,16.9079,522
MINI,Cooper Countryman,2022,Premium,26.099,33.0763,28.8363,306
MINI,Cooper Countryman All4,2022,Premium,23.0934,30.4552,25.912,340
MINI,Cooper S Clubman,2022,Premium,22.7755,32.5771,26.342,335
Hyundai,Tucson Hybrid,2022,Regular,37.3332,35.7681,36.6123,245
Hyundai,Tucson Hybrid Blue,2022,Regular,37.5943,37.9043,37.7332,238
BMW,M850i xDrive Coupe,2022,Premium,17,25,20,442
BMW,M850i xDrive Convertible,2022,Premium,16.6833,24.3827,19.4466,454
BMW,M850i xDrive Gran Coupe,2022,Premium,16.6833,24.3827,19.4466,454
BMW,Alpina B8 Gran Coupe,2022,Premium,16.6833,24.3827,19.4466,454
BMW,750i xDrive Sedan,2022,Premium,16.6833,24.3827,19.4466,454
BMW,Alpina B7 xDrive,2022,Premium,16.6833,24.3827,19.4466,454
Buick,Encore FWD,2022,Regular,24,32,27,329
Chevrolet,Trax FWD,2022,Regular,24,32,27,329
Buick,Encore AWD,2022,Regular,23,30,26,342
Chevrolet,Trax AWD,2022,Regular,23,30,26,342
MINI,Cooper S Convertible,2022,Premium,26.5817,36.0296,30.138,293
MINI,John Cooper Works Convertible,2022,Premium,24.4538,32.5267,27.5283,319
BMW,840i Coupe,2022,Premium,22.7495,29.8444,25.4747,347
BMW,840i xDrive Coupe,2022,Premium,20.2587,27.1226,22.8623,388
BMW,840i Convertible,2022,Premium,21.9399,28.6417,24.5219,360
BMW,840i xDrive Convertible,2022,Premium,20.2587,27.1226,22.8623,388
MINI,Cooper S Hardtop 2 door,2022,Premium,27.7121,37.8108,31.4977,280
MINI,Cooper S Hardtop 4 door,2022,Premium,27.7121,37.8108,31.4977,280
MINI,John Cooper Works Hardtop 2 door,2022,Premium,25.2412,34.0132,28.5552,308
Hyundai,Veloster N,2022,Premium,19.5776,27.2801,22.4271,400
Hyundai,Veloster N,2022,Premium,22.2427,28.4246,24.6557,363
BMW,X2 sDrive28i,2022,Premium,23.7118,31.6597,26.7317,330
BMW,840i Gran Coupe,2022,Premium,21.9399,28.6417,24.5219,360
BMW,840i xDrive Gran Coupe,2022,Premium,20.2587,27.1226,22.8623,388
MINI,Cooper S Clubman,2022,Premium,25.4241,34.945,28.9767,304
MINI,Cooper S Countryman,2022,Premium,24.3683,32.6618,27.5119,321
MINI,Cooper S Countryman All4,2022,Premium,22.6786,31.1662,25.846,341
MINI,Cooper S Clubman All4,2022,Premium,23.1748,31.9376,26.4392,333
MINI,John Cooper Works Clubman All4,2022,Premium,23.1741,30.8526,26.096800000000002,339
MINI,JCW Countryman All4,2022,Premium,23,30.2233,26.1323,343
BMW,740i Sedan,2022,Premium,21.9399,28.6417,24.5219,360
BMW,740i xDrive Sedan,2022,Premium,20.2587,27.1226,22.8623,388
Genesis,G90 AWD,2022,Premium,16.9285,24.0365,19.527,460
Genesis,G90 RWD,2022,Premium,16.779,24.2996,19.494,459
Genesis,G90 AWD,2022,Premium,15.6519,23.244,18.3489,488
Genesis,G90 RWD,2022,Premium,15.8028,23.7068,18.5923,481
Subaru,Legacy AWD,2022,Regular,26.8694,35.1445,30.0538,295
Subaru,Legacy AWD,2022,Regular,23.6674,32.3515,26.919,330
Buick,Encore GX FWD,2022,Regular,29.42,30.8899,30.0638,296
Buick,Encore GX FWD,2022,Regular,28.5494,31.7115,29.8906,297
Chevrolet,Trailblazer FWD,2022,Regular,29.42,30.8899,30.0638,296
Chevrolet,Trailblazer FWD,2022,Regular,29.1846,32.8759,30.7376,289
Kia,Seltos FWD,2022,Regular,29.3533,34.5703,31.4919,283
Buick,Encore GX AWD,2022,Regular,26.2388,28.5501,27.2308,324
Chevrolet,Trailblazer AWD,2022,Regular,26,30,28.3477,313
Genesis,GV70 AWD,2022,Premium,19.4394,25.6735,21.8241,408
Genesis,GV70 AWD,2022,Premium,21.9341,28.0392,24.3166,368
Kia,Seltos AWD,2022,Regular,25.0648,29.9076,27.0347,331
Kia,Seltos AWD,2022,Regular,26.8552,30.9153,28.542,314
Subaru,Outback AWD,2022,Regular,26.1042,32.9376,28.7922,308
Subaru,Outback AWD,2022,Regular,23.2447,29.8444,25.8134,343
Subaru,Outback Wilderness AWD,2022,Regular,21.6093,26.3231,23.5033,377
BMW,M760i xDrive Sedan,2022,Premium,13.2097,19.7595,15.5255,570
Infiniti,QX55 AWD,2022,Premium,22,28.4195,24.9063,364
Chevrolet,Malibu,2022,Premium,21.9811,33.0674,25.8866,342
Chevrolet,Malibu,2022,Regular,29,35.8627,32.1418,275
Kia,K5,2022,Regular,28.5494,37.8335,32.0934,277
Kia,K5,2022,Regular,26.8082,37.2533,30.679,292
Kia,K5 AWD,2022,Regular,25.2729,33.2803,28.3415,316
Kia,K5,2022,Regular,23.7569,32.1794,26.9286,332
Volkswagen,Taos,2022,Regular,28.0777,35.8485,31.1126,286
